=============================
Job ID:       599228
Array Task:   12
Node:         evc20
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=3/i=3 --discrete
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6702 reward_min=-0.9915 reward_max=-0.4018
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6702 reward_min=-0.9934 reward_max=-0.4025
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6702 reward_min=-0.9956 reward_max=-0.4027
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7939 reward_min=-1.4238 reward_max=-0.3160
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7173 reward_global_std=0.1716
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.1165 reward_max=-0.3372
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.1178 reward_max=-0.3374
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6802 reward_min=-1.1190 reward_max=-0.3377
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8005 reward_min=-1.4855 reward_max=-0.3777
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7248 reward_global_std=0.1730
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6774 reward_min=-1.0837 reward_max=-0.3203
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6773 reward_min=-1.0841 reward_max=-0.3207
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6770 reward_min=-1.0839 reward_max=-0.3209
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7776 reward_min=-1.3645 reward_max=1.1675
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7090 reward_global_std=0.1909
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6684 reward_min=-1.0118 reward_max=-0.3404
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6684 reward_min=-1.0117 reward_max=-0.3418
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6683 reward_min=-1.0113 reward_max=-0.3429
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7800 reward_min=-1.3316 reward_max=-0.3523
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7053 reward_global_std=0.1588
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6693 reward_min=-1.0389 reward_max=-0.3906
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6696 reward_min=-1.0383 reward_max=-0.3899
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6696 reward_min=-1.0375 reward_max=-0.3896
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8053 reward_min=-1.3247 reward_max=-0.3524
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7250 reward_global_std=0.1698
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6581 reward_min=-1.0115 reward_max=-0.2728
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6581 reward_min=-1.0114 reward_max=-0.2733
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6580 reward_min=-1.0107 reward_max=-0.2740
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8017 reward_min=-1.2843 reward_max=-0.4131
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7137 reward_global_std=0.1658
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6680 reward_min=-1.0359 reward_max=-0.3272
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6679 reward_min=-1.0360 reward_max=-0.3275
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6679 reward_min=-1.0363 reward_max=-0.3277
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7756 reward_min=-1.3332 reward_max=-0.3906
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7048 reward_global_std=0.1718
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6811 reward_min=-1.1212 reward_max=-0.3873
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6807 reward_min=-1.1202 reward_max=-0.3879
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6807 reward_min=-1.1190 reward_max=-0.3884
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7960 reward_min=-1.3400 reward_max=-0.3816
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7234 reward_global_std=0.1646
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0277 reward_max=-0.3017
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0299 reward_max=-0.3019
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0318 reward_max=-0.3026
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8121 reward_min=-1.3698 reward_max=-0.3793
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7326 reward_global_std=0.1709
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6907 reward_min=-1.0655 reward_max=-0.4293
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6907 reward_min=-1.0656 reward_max=-0.4285
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6909 reward_min=-1.0660 reward_max=-0.4275
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8000 reward_min=-1.3414 reward_max=-0.3966
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7323 reward_global_std=0.1690
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6601 reward_min=-0.9071 reward_max=-0.3034
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6600 reward_min=-0.9065 reward_max=-0.3031
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6599 reward_min=-0.9063 reward_max=-0.3030
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7834 reward_min=-1.2937 reward_max=-0.3955
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7028 reward_global_std=0.1549
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6867 reward_min=-1.0977 reward_max=-0.3902
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6867 reward_min=-1.0981 reward_max=-0.3893
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6869 reward_min=-1.0979 reward_max=-0.3884
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8010 reward_min=-1.3030 reward_max=-0.3765
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7290 reward_global_std=0.1673
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6935 reward_min=-1.1013 reward_max=-0.4211
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6937 reward_min=-1.1021 reward_max=-0.4219
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6934 reward_min=-1.1034 reward_max=-0.4218
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7930 reward_min=-1.5281 reward_max=-0.3836
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7269 reward_global_std=0.1709
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6880 reward_min=-1.0998 reward_max=-0.2869
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6879 reward_min=-1.0995 reward_max=-0.2862
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6878 reward_min=-1.0985 reward_max=-0.2861
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7977 reward_min=-1.4993 reward_max=-0.3782
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7275 reward_global_std=0.1621
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6746 reward_min=-1.0087 reward_max=-0.3758
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6748 reward_min=-1.0092 reward_max=-0.3756
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6746 reward_min=-1.0095 reward_max=-0.3757
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7797 reward_min=-1.3716 reward_max=-0.3919
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7120 reward_global_std=0.1616
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6839 reward_min=-1.0676 reward_max=-0.3897
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6840 reward_min=-1.0679 reward_max=-0.3899
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6841 reward_min=-1.0674 reward_max=-0.3903
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7973 reward_min=-1.3526 reward_max=-0.3262
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7251 reward_global_std=0.1582
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0678 reward_max=-0.3437
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0662 reward_max=-0.3445
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0637 reward_max=-0.3456
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7950 reward_min=-1.4904 reward_max=-0.3577
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7243 reward_global_std=0.1696
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6853 reward_min=-1.0810 reward_max=-0.4024
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6853 reward_min=-1.0814 reward_max=-0.4025
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6853 reward_min=-1.0811 reward_max=-0.4031
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8007 reward_min=-1.3689 reward_max=-0.4217
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7276 reward_global_std=0.1775
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6680 reward_min=-0.9602 reward_max=-0.3396
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6681 reward_min=-0.9605 reward_max=-0.3399
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6681 reward_min=-0.9617 reward_max=-0.3397
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7864 reward_min=-1.3799 reward_max=-0.3848
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7123 reward_global_std=0.1595
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6785 reward_min=-1.0456 reward_max=-0.3966
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6785 reward_min=-1.0453 reward_max=-0.3954
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6788 reward_min=-1.0447 reward_max=-0.3942
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8134 reward_min=-1.2906 reward_max=-0.3642
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7318 reward_global_std=0.1705
[HetNet] iter=760/1500 steps=194560/384000 | pi_s=0.0000 pi_i=-0.0000 v=152.6619 ent_s=1.598 ent_i=1.607 ret=-58.144 ev_s_post=0.058 ev_i_post=0.058 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0200 reward_max=-0.2906
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0201 reward_max=-0.2909
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0206 reward_max=-0.2910
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8045 reward_min=-1.3456 reward_max=-0.3626
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7295 reward_global_std=0.1722
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6858 reward_min=-1.1378 reward_max=-0.4037
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6858 reward_min=-1.1386 reward_max=-0.4039
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6857 reward_min=-1.1400 reward_max=-0.4044
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7877 reward_min=-1.5132 reward_max=-0.3349
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7223 reward_global_std=0.1727
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6679 reward_min=-0.9784 reward_max=-0.3974
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6678 reward_min=-0.9786 reward_max=-0.3974
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6676 reward_min=-0.9779 reward_max=-0.3980
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7600 reward_min=-1.3448 reward_max=-0.3607
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6990 reward_global_std=0.1521
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6801 reward_min=-1.0894 reward_max=-0.3851
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6801 reward_min=-1.0906 reward_max=-0.3857
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6799 reward_min=-1.0922 reward_max=-0.3863
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7995 reward_min=-1.3764 reward_max=-0.4113
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7262 reward_global_std=0.1773
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6725 reward_min=-1.0642 reward_max=-0.3105
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6724 reward_min=-1.0632 reward_max=-0.3101
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6721 reward_min=-1.0627 reward_max=-0.3095
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7801 reward_min=-1.3840 reward_max=-0.4265
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7073 reward_global_std=0.1732
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6658 reward_min=-1.0577 reward_max=-0.3458
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6658 reward_min=-1.0564 reward_max=-0.3457
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6658 reward_min=-1.0543 reward_max=-0.3444
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8049 reward_min=-1.4018 reward_max=-0.2842
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7200 reward_global_std=0.1736
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6795 reward_min=-1.0569 reward_max=-0.3399
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6795 reward_min=-1.0551 reward_max=-0.3395
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6794 reward_min=-1.0525 reward_max=-0.3393
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8136 reward_min=-1.3201 reward_max=-0.3443
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7287 reward_global_std=0.1694
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6706 reward_min=-1.1032 reward_max=-0.4217
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6706 reward_min=-1.1029 reward_max=-0.4221
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6704 reward_min=-1.1025 reward_max=-0.4218
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8191 reward_min=-1.3875 reward_max=-0.3558
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7275 reward_global_std=0.1727
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6839 reward_min=-0.9888 reward_max=-0.3370
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6839 reward_min=-0.9877 reward_max=-0.3364
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6838 reward_min=-0.9868 reward_max=-0.3357
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7999 reward_min=-1.3393 reward_max=-0.3431
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7234 reward_global_std=0.1794
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6764 reward_min=-1.0008 reward_max=-0.3551
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6763 reward_min=-1.0021 reward_max=-0.3559
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6763 reward_min=-1.0034 reward_max=-0.3572
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8132 reward_min=-1.3767 reward_max=-0.3442
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7272 reward_global_std=0.1692
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6791 reward_min=-1.0986 reward_max=-0.3538
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6791 reward_min=-1.0982 reward_max=-0.3548
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6789 reward_min=-1.0977 reward_max=-0.3562
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8094 reward_min=-1.3864 reward_max=1.4086
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7276 reward_global_std=0.1959
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6892 reward_min=-1.0523 reward_max=-0.3124
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6891 reward_min=-1.0534 reward_max=-0.3123
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6893 reward_min=-1.0547 reward_max=-0.3123
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7943 reward_min=-1.4109 reward_max=1.3465
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7291 reward_global_std=0.1851
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6798 reward_min=-1.0307 reward_max=-0.2830
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6798 reward_min=-1.0310 reward_max=-0.2837
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6798 reward_min=-1.0317 reward_max=-0.2847
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8048 reward_min=-1.3311 reward_max=-0.3744
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7280 reward_global_std=0.1663
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6746 reward_min=-1.0327 reward_max=-0.3856
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6746 reward_min=-1.0328 reward_max=-0.3860
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6745 reward_min=-1.0327 reward_max=-0.3861
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7885 reward_min=-1.2880 reward_max=-0.4130
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7148 reward_global_std=0.1597
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6688 reward_min=-1.0732 reward_max=-0.3809
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6688 reward_min=-1.0738 reward_max=-0.3815
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6688 reward_min=-1.0748 reward_max=-0.3825
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7897 reward_min=-1.4542 reward_max=-0.3528
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7120 reward_global_std=0.1623
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6783 reward_min=-0.9450 reward_max=-0.2709
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6782 reward_min=-0.9448 reward_max=-0.2704
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6781 reward_min=-0.9441 reward_max=-0.2698
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7791 reward_min=-1.3033 reward_max=1.2878
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7132 reward_global_std=0.1859
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6675 reward_min=-1.0071 reward_max=-0.3319
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6674 reward_min=-1.0061 reward_max=-0.3315
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6675 reward_min=-1.0052 reward_max=-0.3315
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7933 reward_min=-1.3173 reward_max=-0.3778
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7130 reward_global_std=0.1625
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6794 reward_min=-1.0380 reward_max=-0.3542
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6795 reward_min=-1.0398 reward_max=-0.3534
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6793 reward_min=-1.0413 reward_max=-0.3524
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8019 reward_min=-1.4524 reward_max=-0.3154
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7241 reward_global_std=0.1662
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6899 reward_min=-1.0075 reward_max=-0.4583
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6898 reward_min=-1.0077 reward_max=-0.4572
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6897 reward_min=-1.0081 reward_max=-0.4563
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7863 reward_min=-1.3729 reward_max=-0.3998
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7227 reward_global_std=0.1655
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6834 reward_min=-1.1798 reward_max=-0.3618
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6836 reward_min=-1.1800 reward_max=-0.3613
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6836 reward_min=-1.1804 reward_max=-0.3614
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7986 reward_min=-1.4806 reward_max=-0.3679
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7239 reward_global_std=0.1770
[HetNet] iter=780/1500 steps=199680/384000 | pi_s=-0.0000 pi_i=-0.0000 v=150.4997 ent_s=1.607 ent_i=1.606 ret=-57.550 ev_s_post=0.060 ev_i_post=0.059 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6664 reward_min=-1.0640 reward_max=-0.4133
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6664 reward_min=-1.0640 reward_max=-0.4130
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6663 reward_min=-1.0644 reward_max=-0.4131
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7904 reward_min=-1.4106 reward_max=-0.3975
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7115 reward_global_std=0.1629
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6880 reward_min=-0.9994 reward_max=-0.3867
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6879 reward_min=-1.0002 reward_max=-0.3857
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6880 reward_min=-1.0013 reward_max=-0.3854
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7879 reward_min=-1.3436 reward_max=-0.3693
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7196 reward_global_std=0.1671
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6820 reward_min=-0.9826 reward_max=-0.3123
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6820 reward_min=-0.9824 reward_max=-0.3127
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6822 reward_min=-0.9821 reward_max=-0.3124
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8029 reward_min=-1.3757 reward_max=-0.3591
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7260 reward_global_std=0.1700
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6731 reward_min=-1.0147 reward_max=-0.4275
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6731 reward_min=-1.0139 reward_max=-0.4283
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6729 reward_min=-1.0136 reward_max=-0.4290
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8021 reward_min=-1.3657 reward_max=-0.3789
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7208 reward_global_std=0.1655
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6743 reward_min=-1.0120 reward_max=-0.4230
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6745 reward_min=-1.0118 reward_max=-0.4240
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6742 reward_min=-1.0120 reward_max=-0.4257
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7982 reward_min=-1.3283 reward_max=-0.3613
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7215 reward_global_std=0.1779
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6735 reward_min=-0.9820 reward_max=-0.3933
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6735 reward_min=-0.9823 reward_max=-0.3940
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6734 reward_min=-0.9825 reward_max=-0.3939
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7894 reward_min=-1.3372 reward_max=-0.3994
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7113 reward_global_std=0.1716
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6751 reward_min=-1.0163 reward_max=-0.4123
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6750 reward_min=-1.0167 reward_max=-0.4124
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6750 reward_min=-1.0175 reward_max=-0.4115
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7887 reward_min=-1.3956 reward_max=-0.3443
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7195 reward_global_std=0.1716
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6803 reward_min=-1.1042 reward_max=-0.2615
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6803 reward_min=-1.1045 reward_max=-0.2620
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6802 reward_min=-1.1051 reward_max=-0.2616
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7843 reward_min=-1.3867 reward_max=-0.3157
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7156 reward_global_std=0.1744
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6742 reward_min=-1.0514 reward_max=-0.3437
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6743 reward_min=-1.0520 reward_max=-0.3436
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6740 reward_min=-1.0524 reward_max=-0.3438
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7911 reward_min=-1.3726 reward_max=-0.3394
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7145 reward_global_std=0.1724
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6790 reward_min=-1.0596 reward_max=-0.3679
